,upper_1,upper_2,upper_3,upper_4,upper_5,upper_6,threeOfAKind,fourOfAKind,fullHouse,smallStraight,largeStraight,chance,yahtzee,yahtzee_bonus,upper_score,upper_bonus,bottom_score,total_score,upper_bonus_flag,threeOfAKind_flag,fourOfAKind_flag,fullHouse_flag,smallStraight_flag,largeStraight_flag,yahtzee_flag,yahtzee_bonus_flag
count,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0
mean,2.539044,5.17596,8.041572,10.900816,13.8617,16.889328,13.65282,10.171724,22.9031,23.6892,16.82592,17.91822,19.5846,10.4932,57.40842,11.00848,135.238784,203.655684,0.314528,0.62962,0.502924,0.916124,0.78964,0.420648,0.391692,0.104932
std,1.1763201524150861,2.3043895762781896,3.278811792593184,4.254841354126195,5.164075888358532,6.025725594963248,10.759416950177014,10.810875189743333,6.930057899674522,12.226953886962992,19.74656364688979,4.402061510722388,24.406470976850645,35.59463192212142,9.628836687866858,16.251499147306887,60.516176870588936,64.84851005080574,0.464328547065465,0.4829074325348847,0.49999245013585303,0.277202315986784,0.4075651295649477,0.4936640911733712,0.4881294195365583,0.35594631922205977
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,12.0,0.0,6.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,2.0,4.0,6.0,8.0,10.0,12.0,0.0,0.0,25.0,30.0,0.0,15.0,0.0,0.0,51.0,0.0,96.0,161.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
50%,3.0,6.0,9.0,12.0,15.0,18.0,19.0,11.0,25.0,30.0,0.0,19.0,0.0,0.0,58.0,0.0,123.0,193.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
75%,3.0,6.0,9.0,12.0,15.0,24.0,23.0,21.0,25.0,30.0,40.0,21.0,50.0,0.0,64.0,35.0,156.0,230.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
max,5.0,10.0,15.0,20.0,25.0,30.0,30.0,30.0,25.0,30.0,40.0,30.0,50.0,700.0,91.0,35.0,912.0,972.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
