,upper_1,upper_2,upper_3,upper_4,upper_5,upper_6,threeOfAKind,fourOfAKind,fullHouse,smallStraight,largeStraight,chance,yahtzee,yahtzee_bonus,upper_score,upper_bonus,bottom_score,total_score,upper_bonus_flag,threeOfAKind_flag,fourOfAKind_flag,fullHouse_flag,smallStraight_flag,largeStraight_flag,yahtzee_flag,yahtzee_bonus_flag
count,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0
mean,2.63294,5.351424,8.303556,11.201776,14.15276,17.155464,15.841536,12.448612,17.0579,6.4566,2.0464,18.986068,20.867,12.5036,58.79792,12.49892,106.207716,177.504556,0.357112,0.733576,0.621084,0.682316,0.21522,0.05116,0.41734,0.125036
std,1.0821550908435618,2.1209675071141723,2.997291725854414,3.931756386228077,4.781806755311632,5.632933681892982,9.90274514556856,10.596845211942616,11.639419637335378,12.32927104429028,8.812976665927756,4.169960126146031,24.656048805164126,39.00289825060697,8.981674139907197,16.77022134007461,65.82203299978183,69.36651539538586,0.47914918114452154,0.44208939593289415,0.4851181364391405,0.46557678549435744,0.4109757014767749,0.2203244166487231,0.4931209761040887,0.39002898250538603
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,15.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,2.0,4.0,6.0,8.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,53.0,0.0,66.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,3.0,6.0,9.0,12.0,15.0,18.0,20.0,14.0,25.0,0.0,0.0,19.0,0.0,0.0,59.0,0.0,90.0,165.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
75%,3.0,6.0,9.0,12.0,20.0,24.0,23.0,22.0,25.0,0.0,0.0,22.0,50.0,0.0,65.0,35.0,123.0,199.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
max,5.0,10.0,15.0,20.0,25.0,30.0,30.0,30.0,25.0,30.0,40.0,30.0,50.0,500.0,89.0,35.0,719.0,817.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
