,upper_1,upper_2,upper_3,upper_4,upper_5,upper_6,threeOfAKind,fourOfAKind,fullHouse,smallStraight,largeStraight,chance,yahtzee,yahtzee_bonus,upper_score,upper_bonus,bottom_score,total_score,upper_bonus_flag,threeOfAKind_flag,fourOfAKind_flag,fullHouse_flag,smallStraight_flag,largeStraight_flag,yahtzee_flag,yahtzee_bonus_flag
count,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0
mean,2.47124,4.706072,7.236408,9.848608,12.56742,15.440592,13.627976,16.741948,24.7544,23.40768,17.012,17.513496,19.3054,10.2072,52.27034,5.11448,142.5701,199.95492,0.146128,0.626444,0.831968,0.990176,0.780256,0.4253,0.386108,0.102072
std,1.1388705152483563,2.2242432690348553,3.1849947934501315,4.230971527537533,5.239195008812457,6.18095522605006,10.838424056521182,8.973278957220707,2.4657057729688368,12.422219377574253,19.775576358041246,4.589321312075159,24.342840860018836,34.931618185184206,9.93052842229289,12.363232009781704,59.023379952588684,62.56913446244941,0.3532352002800165,0.4837487477143258,0.37389544817611553,0.09862823091853054,0.41407397925194395,0.4943894089519986,0.48685681720028495,0.34931618185232227
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,6.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,2.0,4.0,6.0,8.0,10.0,12.0,0.0,13.0,25.0,30.0,0.0,15.0,0.0,0.0,46.0,0.0,105.0,159.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
50%,2.0,4.0,9.0,12.0,15.0,18.0,18.0,18.0,25.0,30.0,0.0,18.0,0.0,0.0,53.0,0.0,130.0,188.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
75%,3.0,6.0,9.0,12.0,15.0,18.0,23.0,24.0,25.0,30.0,40.0,20.0,50.0,0.0,59.0,0.0,163.0,223.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
max,5.0,10.0,15.0,20.0,25.0,30.0,30.0,30.0,25.0,30.0,40.0,30.0,50.0,500.0,86.0,35.0,704.0,753.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
